0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,AC High Voltage,IS 13779 (Clause 12.7.6.3)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,Insulation Resistance,IS 13779 (Clause 12.7.6.4)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,Limits of Errors,IS 13779 (Clause 11.1)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,Meter Constant,IS 13779 (Clause 12.15)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,No-Load Condition,IS 13779 (Clause 12.13)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,Power Consumption,IS 13779 (Clause 12.7.1)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,Repeatability of Error,IS 13779 (Clause 12.17)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Meters Class 1.0,Starting Condition,IS 13779 (Clause 12.14)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,AC High Voltage,"IS 16444 (Part 1, Clause 6.10.6)"
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,Insulation Resistance,"IS 16444 (Part 1, Clause 6.10.6)"
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,Limits of Errors,"IS 16444 (Part 1, Clause 6.12)"
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,Meter Constant,"IS 16444 (Part 1, Clause 6.12)"
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,No-Load Condition,"IS 16444 (Part 1, Clause 6.12)"
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,Power Consumption,"IS 16444 (Part 1, Clause 6.10.1)"
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,Repeatability of Error,"IS 16444 (Part 1, Clause 6.12)"
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt Hour Smart Meters Class 1.0,Starting Condition,"IS 16444 (Part 1, Clause 6.12)"
